Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
322-02-2271,B,Abuja,Normal,Female,Sports and travel,15469.204541259029,2.9963146074953317,2320.3782775634227,48727.980305444435,2/3/2019,11:46,Cash,46407.60338419094,4.769164346905658,2320.3817212064055,9.296020880746836
574-80-1489,B,Abuja,Member,Female,Food and beverages,22625.986463578498,4.023867010281093,4525.203309646897,95029.2056038613,2/25/2019,13:22,Epay,90503.99405272098,4.760961206101107,4525.210646766232,8.69803902171157
725-67-2480,B,Abuja,Member,Female,Fashion accessories,21150.001979063214,6.009677942219756,6344.981220180344,133245.01728623675,3/24/2019,18:14,Card,126900.00454300366,4.752447760559208,6345.008446265464,5.884178763312612
321-49-7382,B,Abuja,Member,Male,Sports and travel,31791.589912784686,0.9989315928172592,1589.5673191556896,33381.17322373075,2/15/2019,17:38,Card,31791.60659132576,4.769829793702905,1589.568756912426,5.217067783353951
390-80-5128,B,Abuja,Member,Female,Health and beauty,6893.985682110832,0.9960263786115217,344.7042089792279,7238.703460351342,1/28/2019,17:58,Card,6893.998786160876,4.744708133021573,344.6898916732052,9.507032759784964
280-35-5823,B,Abuja,Member,Female,Home and lifestyle,31219.196083866667,1.0109416221378207,1560.9652180783382,32780.16986819547,1/17/2019,18:45,Epay,31219.211245012088,4.77128035206025,1560.961669435569,7.911975595419871
261-12-8671,B,Abuja,Normal,Female,Fashion accessories,21945.605266820996,1.9987197418139986,2194.564083359585,46085.7579989701,1/25/2019,19:39,Card,43891.202434698156,4.7431186281794036,2194.5571177206793,4.911977533150119
181-82-6255,B,Abuja,Normal,Female,Home and lifestyle,5893.20086345432,5.996889846706018,1767.9520902425459,37127.16594142275,2/8/2019,10:58,Cash,35359.20187111588,4.7653550098718345,1767.959823984382,6.997706535162046
569-71-4390,B,Abuja,Normal,Male,Sports and travel,7873.207313256751,2.0037679940651767,787.3191429734981,16533.7347486767,1/25/2019,14:29,Epay,15746.40179433889,4.774879100748075,787.3115234563261,6.909665659007181
241-11-2261,B,Abuja,Normal,Female,Fashion accessories,28749.603669456043,7.007743044575693,10062.363625095812,211309.5673421882,1/10/2019,10:33,Card,201247.20212211052,4.770940031095818,10062.34692560294,5.490955848795603
733-01-9107,B,Abuja,Normal,Male,Home and lifestyle,29771.990743437065,6.021766225042013,8931.60080237231,187563.5923829475,3/5/2019,18:14,Cash,178631.99876482846,4.763097132616793,8931.580263173671,7.412162125427567
751-15-6198,B,Abuja,Normal,Male,Sports and travel,8283.602036467666,5.998948837924732,2485.0890392703805,52186.69383718225,1/12/2019,16:45,Epay,49701.60197245583,4.753938414786775,2485.0754255279458,7.901775167998732
188-55-0967,B,Abuja,Member,Male,Health and beauty,23929.18624264683,9.995161827513884,11964.59967240167,251256.606741212,1/15/2019,15:01,Card,239291.99551388316,4.74645594208033,11964.59412480831,4.988232889236308
695-51-0018,B,Abuja,Normal,Female,Sports and travel,12542.391806918087,3.994091807582533,2508.483126348323,52678.077120186754,2/10/2019,18:36,Cash,50169.591321334374,4.752492388511363,2508.4682297600334,7.398150315736954
529-56-3974,B,Abuja,Member,Male,Electronic accessories,9183.590968871214,4.015297147081449,1836.7361757495516,38571.121639414516,3/9/2019,17:03,Cash,36734.39523471295,4.7743456543299185,1836.714881146778,6.804469444480123
608-05-3804,B,Abuja,Member,Male,Electronic accessories,14310.013654979648,1.006715217053482,715.4975269661418,15025.513194905814,2/25/2019,20:19,Cash,14309.972013214488,4.7563100680594195,715.4935355187625,6.104423528093137
207-73-1363,B,Abuja,Normal,Male,Health and beauty,25023.604932085305,1.988582127804277,2502.3731768452067,52549.557531169325,3/1/2019,12:15,Epay,50047.200797830985,4.760559930714207,2502.3589931407614,8.103505472216117
695-51-0018,B,Abuja,Normal,Female,Sports and travel,12542.403060320066,4.0191586984629115,2508.5103339153943,52678.06630519698,2/10/2019,18:36,Cash,50169.61019136146,4.75511427552263,2508.455064010727,7.398849315158717
356-44-8813,B,Abuja,Normal,Male,Home and lifestyle,13492.791552180046,3.018965516375421,2023.9287937167653,42502.32776888336,1/20/2019,13:45,Card,40478.408188551366,4.762118142299104,2023.9301794243063,7.6937357408318405
692-27-8933,B,Abuja,Normal,Female,Sports and travel,20861.998035914534,5.994097911680323,6258.595066531662,131430.60700933912,2/24/2019,13:02,Cash,125172.01010900641,4.778041849095135,6258.6051043572525,5.198861420368049
